date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:06	348/348	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20Dec%202022%2014:53:07%20GMT	https://fenixclientmc.wordpress.com/robots.txt		(from )
15:53:06	90275/90275	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2014:53:08%20GMT	https://fenixclientmc.wordpress.com/	C:/My%20Web%20Sites/SitoWP/fenixclientmc.wordpress.com/index.html	(from )
15:53:06	2597/2597	---MCZ	200	added ('OK')	text/css	etag:W/%225d128812-f87%22	https://s0.wp.com/wp-content/blog-plugins/wordads/global.css?m=1561495466h&cssminify=yes	C:/My%20Web%20Sites/SitoWP/s0.wp.com/wp-content/blog-plugins/wordads/globalfb1f.css	(from https://fenixclientmc.wordpress.com/)
15:53:06	15965/15965	---MCZ	200	added ('OK')	text/css	etag:W/%2263810824-3e5d%22	https://s2.wp.com/wp-content/plugins/gutenberg-core/v14.6.1/build/block-library/blocks/navigation/style.css?m=1669400598h&cssminify=yes	C:/My%20Web%20Sites/SitoWP/s2.wp.com/wp-content/plugins/gutenberg-core/v14.6.1/build/block-library/blocks/navigation/style346d.css	(from https://fenixclientmc.wordpress.com/)
15:53:06	889/889	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dc42d8a2c2a3aeddcd95264134b945c8%22	https://fenixclientmc.wordpress.com/comments/feed/	C:/My%20Web%20Sites/SitoWP/fenixclientmc.wordpress.com/comments/feed/index.html	(from https://fenixclientmc.wordpress.com/)
15:53:06	1585/1585	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2002%20Dec%202022%2014:53:08%20GMT	https://fenixclientmc.wordpress.com/feed/	C:/My%20Web%20Sites/SitoWP/fenixclientmc.wordpress.com/feed/index.html	(from https://fenixclientmc.wordpress.com/)
15:53:07	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%225bffef56-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	C:/My%20Web%20Sites/SitoWP/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://fenixclientmc.wordpress.com/)
15:53:07	369/369	---M--	200	added ('OK')	text/css	etag:%225bfee31e-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/SitoWP/s1.wp.com/_static/indexd02a.html	(from https://fenixclientmc.wordpress.com/)
15:53:07	890/890	---MCZ	200	added ('OK')	text/xml	date:Fri,%2002%20Dec%202022%2014:53:09%20GMT	https://fenixclientmc.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/SitoWP/fenixclientmc.wordpress.com/xmlrpc0db0.php	(from https://fenixclientmc.wordpress.com/)
15:53:08	1480/1480	---MCZ	200	added ('OK')	application/xml	date:Fri,%2002%20Dec%202022%2014:53:10%20GMT	https://fenixclientmc.wordpress.com/osd.xml	C:/My%20Web%20Sites/SitoWP/fenixclientmc.wordpress.com/osd.xml	(from https://fenixclientmc.wordpress.com/)
15:53:09	24043/24043	---MCZ	200	added ('OK')	application/javascript	etag:W/%226323111f-5deb%22	http://0.gravatar.com/js/gprofiles.js?ver=202248z	C:/My%20Web%20Sites/SitoWP/0.gravatar.com/js/gprofilesf67e.js	(from https://fenixclientmc.wordpress.com/)
15:53:09	29018/29018	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Dec%202022%2015:54:59%20GMT	https://fenixclientmc.files.wordpress.com/2022/12/lorem-ipsum-generator-custom-placeholder-text.jpg?w=1024	C:/My%20Web%20Sites/SitoWP/fenixclientmc.files.wordpress.com/2022/12/lorem-ipsum-generator-custom-placeholder-text2dff.jpg	(from https://fenixclientmc.wordpress.com/)
15:53:09	868/868	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ffc31a9-465%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240h	C:/My%20Web%20Sites/SitoWP/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohodc5c.js	(from https://fenixclientmc.wordpress.com/)
15:53:09	81287/81287	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2014:53:11%20GMT	https://fenixclientmc.wordpress.com/GET	C:/My%20Web%20Sites/SitoWP/fenixclientmc.wordpress.com/GET	(from https://fenixclientmc.wordpress.com/)
15:53:09	15458/15458	---MCZ	200	added ('OK')	text/css	etag:W/%2261439ab3-4620%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20210915	C:/My%20Web%20Sites/SitoWP/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar2866.css	(from https://fenixclientmc.wordpress.com/)
15:53:10	10828/10828	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624b18ae-346d%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20220329	C:/My%20Web%20Sites/SitoWP/s0.wp.com/wp-content/mu-plugins/actionbar/actionbarb516.js	(from https://fenixclientmc.wordpress.com/)
15:53:10	10813/10813	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261dc645f-2a3d%22	http://stats.wp.com/w.js?63	C:/My%20Web%20Sites/SitoWP/stats.wp.com/w03af.js	(from https://fenixclientmc.wordpress.com/)
15:53:10	489/489	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2002%20Dec%202022%2014:53:12%20GMT	https://fenixclientmc.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	C:/My%20Web%20Sites/SitoWP/fenixclientmc.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://fenixclientmc.wordpress.com/)
15:53:10	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2002%20Dec%202022%2014:53:12%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/My%20Web%20Sites/SitoWP/pixel.wp.com/b0b80.gif	(from https://fenixclientmc.wordpress.com/)
15:53:11	344/344	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20Dec%202022%2014:53:13%20GMT	https://s1.wp.com/robots.txt		(from https://fenixclientmc.wordpress.com/)
